iter	Passed	Remaining
0	52	4136
1	54	2126
2	56	1455
3	59	1121
4	61	915
5	63	779
6	65	683
7	67	608
8	69	549
9	71	503
10	74	465
11	76	433
12	81	418
13	83	393
14	85	370
15	87	350
16	89	333
17	92	317
18	95	306
19	98	294
20	100	282
21	103	272
22	105	260
23	107	249
24	108	239
25	114	237
26	116	228
27	118	220
28	120	212
29	123	205
30	125	197
31	127	190
32	129	184
33	133	180
34	135	173
35	137	168
36	140	163
37	142	157
38	144	151
39	149	149
40	152	144
41	154	139
42	156	134
43	158	130
44	161	125
45	163	120
46	167	117
47	170	113
48	173	109
49	175	105
50	177	101
51	180	96
52	182	93
53	185	89
54	187	85
55	189	81
56	191	77
57	194	73
58	196	69
59	198	66
60	201	62
61	204	59
62	206	55
63	208	52
64	210	48
65	213	45
66	215	41
67	219	38
68	221	35
69	223	31
70	226	28
71	228	25
72	231	22
73	234	19
74	237	15
75	239	12
76	241	9
77	243	6
78	245	3
79	248	0
