iter	Passed	Remaining
0	61	4838
1	67	2635
2	74	1910
3	80	1534
4	86	1296
5	89	1108
6	96	1003
7	100	906
8	106	837
9	111	782
10	116	728
11	121	690
12	128	662
13	133	629
14	138	599
15	143	574
16	148	551
17	153	530
18	159	511
19	164	492
20	169	475
21	173	456
22	175	434
23	178	416
24	181	400
25	184	382
26	186	365
27	188	349
28	190	335
29	193	323
30	195	308
31	196	295
32	198	282
33	200	271
34	203	261
35	205	251
36	208	241
37	210	233
38	213	224
39	215	215
40	217	206
41	219	199
42	222	191
43	224	184
44	227	176
45	229	169
46	231	162
47	234	156
48	236	149
49	238	143
50	240	136
51	242	130
52	245	124
53	247	119
54	250	113
55	252	108
56	255	103
57	261	99
58	263	93
59	266	88
60	269	83
61	272	79
62	274	74
63	277	69
64	280	64
65	284	60
66	285	55
67	289	51
68	292	46
69	295	42
70	298	37
71	302	33
72	304	29
73	306	24
74	310	20
75	313	16
76	317	12
77	320	8
78	323	4
79	329	0
